CD_LOC;UF;abstencoes;aptos;comparecimentos;validos
SP00678;SP;962;3777;2815;2612
SP00679;SP;1287;4304;3017;2831
SP00680;SP;2792;11486;8694;8233
SP00681;SP;1234;5137;3903;3716
SP00682;SP;547;2306;1759;1678
SP00683;SP;1179;5169;3990;3812
SP00684;SP;394;1542;1148;1090
SP00685;SP;56;329;273;258
SP00686;SP;3129;9715;6586;6066
SP00687;SP;1613;5282;3669;3417
SP00688;SP;1209;4013;2804;2605
SP00689;SP;1864;6259;4395;4101
SP00690;SP;1691;5510;3819;3562
SP00691;SP;674;2030;1356;1262
SP00692;SP;2303;8151;5848;5475
SP00693;SP;1383;4634;3251;3010
SP00694;SP;2246;8474;6228;5860
SP00695;SP;1804;5738;3934;3659
SP00696;SP;315;1384;1069;1007
SP00697;SP;1157;4338;3181;3028
SP00698;SP;1247;4269;3022;2750
SP00699;SP;865;2845;1980;1799
SP00700;SP;742;2038;1296;1203
SP00701;SP;1071;4091;3020;2798
SP00702;SP;1018;3281;2263;2117
SP00703;SP;1073;3713;2640;2382
SP00704;SP;1567;5896;4329;3928
SP00705;SP;775;2464;1689;1561
SP00706;SP;1502;5478;3976;3593
SP00707;SP;2008;6988;4980;4458
SP00708;SP;1758;5710;3952;3529
SP00709;SP;1707;5869;4162;3726
SP00710;SP;1106;3923;2817;2562
