CD_LOC;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP
SP00142;EE. OSCAR THOMPSON;AV. LINS DE VASCONCELOS, 600;CAMBUCI;1538000
SP00143;EE. PROF. ROLDÃO LOPES DE BARROS;RUA COLÔNIA DA GLÓRIA, 536;VILA MARIANA;4113001
SP00144;BELAS ARTES;RUA ÁLVARO ALVIM, 90;VILA MARIANA;4018010
SP00145;EM.PADRE MANUEL DE PAIVA;RUA PROF. SERAFIM ORLANDI, 254;JARDIM VILA MARIANA;4115090
SP00146;FIAP SCHOOL;AV. LINS DE VASCONCELOS, 1264;CAMBUCI;1538000
SP00147;ESCOLA SUPERIOR DE PROPAGANDA E MARKETING;RUA DOUTOR ÁLVARO ALVIM, 123;VILA MARIANA;4018010
SP00148;COLÉGIO NOTRE DAME RAINHA DOS APÓSTOLOS;RUA OUVIDOR PORTUGAL, 607;VILA MONUMENTO;1551000
SP00149;COLÉGIO PAULO DE TARSO;RUA MAZZINI, 61;ACLIMAÇÃO;1528000
SP00150;COLÉGIO SANTA CATARINA DE SENA;RUA MANOEL DA NÓBREGA,307;PARAÍSO;4001082
SP00151;EE. YOSHIO NINOMIYA;RUA JOÃO ANDRE LEYSE, 100;CONJUNTO RESIDENCIAL FAZZIONI;5884100
SP00152;CEI ELFRIDA ZUKOWSKI JARDIM;RUA JOÃO ANDRÉ LEYSER, 99;CONJUNTO RESIDENCIAL FAZZIONI;5884100
SP00153;EE. DR. AFIZ GEBARA;RUA BACIA DE SÃO FRANCISCO, S/N;JARDIM COMERCIAL;5885540
SP00154;EE. PROF. HUMBERTO ALFREDO PUCCA;RUA DA MANDIRA,120;JARDIM FRATERNIDADE;5870150
SP00155;EMEF. EUCLIDES DA CUNHA;RUA COSTA NOVA DO PRADO, 108;JARDIM COMERCIAL;5885190
SP00156;EE. PROF. JOÃO SILVA;RUA ABÍLIO CÉSAR, 243;JARDIM SORAIA;5881020
SP00157;EMEF. PROFESSOR JOSÉ FRANCISCO CAVALCANTE;RUA TAJAL, 00;JARDIM SÃO BENTO;5886400
SP00158;EE. PROFª BEATRIZ DE QUADROS LEME;RUA PROF. GASTÃO RAMOS, 3;PARQUE FERNANDA;5888160
SP00159;EE. PASTOR CÍCERO CANUTO DE LIMA;RUA CIPOTUBA, 37;MORRO DO INDIO;5873190
SP00160;EE. PROF. FRANCISCO ANTONIO MARTINS JÚNIOR;RUA ROCHA MEDRANO, S/N;JARDIM SÃO BENTO NOVO;5881270
SP00161;EE. MARGARIDA MARIA ALVES;AV.  DIAMANTE VERDE,180;PARQUE INDEPENDENCIA;5880280
SP00162;EE. PROF. RONALDO GARIBALDI PERETTI;AV. ANTONIO JOSÉ BENTES, 691;JARDIM IRAPIRANGA;5891160
SP00163;EE. DONA MARIA DO CARMO CAMPOS FERREIRA;RUA GAGLIANO NETO, 506;JARDIM SORAIA;5872080
SP00164;EE. JOITI HIRATA;RUA LUAR DO SERTÃO, 165;CHACARA SANTA MARIA;5879450
SP00165;EMEF. THEODOMIRO MONTEIRO DO AMARAL;RUA ACARIRANA, 51;JARDIM DOM JOSE;5887230
SP00166;EE. JARDIM IRENE III;RUA ANTONIO JOSÉ BENTES, 627;JARDIM IRAPIRANGA;5891160
SP00167;EMEF. PROF. JORGE AMERICANO;RUA FEITIÇO DA VILA, 915;CHACARA SANTA MARIA;5879000
SP00168;EMEF. PROF. RICARDO VITIELLO;RUA SOLIDARIEDADE, 200;COHAB ADVENTISTA;5868250
SP00169;EE. PROFª MAUD SÁ DE MIRANDA MONTEIRO;RUA FALKENBERG, 240;JARDIM COMERCIAL;5885240
SP00170;EMEF. TEREZINHA MOTA FIGUEIREDO;RUA CANTORIAS PAULISTAS, 20;CONJUNTO HABITACIONAL VALO VELHO;5886490
SP00171;EE. JOSÉ PORPHYRIO DA PAZ;RUA JOSÉ ALVES DA SILVA, 870;PARQUE NOVO SANTO AMARO;5874000
SP00172;EMEF. ANTONIO ESTANISLAU DO AMARAL;RUA CERDEIRA, 07;PARQUE NOVO SANTO AMARO;5874060
SP00173;EE. MAESTRO JOÃO CARLOS MARTINS;RUA RENATO LOCCHI, 36;PARQUE NOVO SANTO AMARO;5874100
SP00174;INSTITUTO CASTELO DE EDUCAÇÃO;RUA ABÍLIO CÉSAR, 25;JARDIM SORAIA;5881020
SP00175;EMEF. MARIA RITA LOPES PONTES (IRMÃ DULCE);RUA VITORIANO PALHARES, S/N;JARDIM AMALIA;5890320
SP00176;EE. MARIA JANNUZZI MASCARI;ESTRADA DE ITAPECERICA, 9950;PARQUE FERNANDA;5858002
SP00177;EE. RENATA GRAZIANO;RUA ARNALDO DANIEL, 100;JARDIM GUARUJA;5877150
SP00178;CEU. EMEF FEITIÇO DA VILA;RUA FEITIÇO DA VILA, 399;CHACARA SANTA MARIA;5879000
SP00179;EMEF. JOSÉ OLYMPIO PEREIRA FILHO;TRAVESSA DA PASSAREIRA, 200;COHAB ADVENTISTA;5868120
SP00180;EMEF. CAMPO LIMPO II;RUA ALGARD, S/N;JARDIM COMERCIAL;5885150
SP00181;EMEF. SARGENTO ANTONIO ALVES DA SILVA;RUA GARCIA DE ORTA, 36;PARQUE INDEPENDENCIA;5880290
SP00182;CENTRO DE CRIANÇAS E ADOLESCENTE AGLAEZINHA;RUA AGLAES REIS, 337;JARDIM FRATERNIDADE;5870010
SP00183;CEI JARDIM SÃO BENTO VELHO;RUA BATALHA REIS, 35;JARDIM SÃO BENTO NOVO;5882360
SP00184;CRECHE CONVENIADA ABILIO CESAR;RUA ABÍLIO CÉSAR, 1030;JARDIM SORAIA;5881020
SP00185;EE AGENOR DE MIRANDA ARAUJO NETO (CAZUZA);RUA ARNALDO DANIEL;JARDIM GUARUJA;5877150
SP00186;EE PROFESSORA BERNADETE APARECIDA PEREIRA GODOI;RUA LUAR DO SERTÃO, 0;CHACARA SANTA MARIA;5879450
SP00187;EE CHÁCARA SANTA MARIA;AVENIDA DIAMANTE VERDE, 158;PARQUE INDEPENDENCIA;5880280
SP00188;JOSEPHINA CINTRA DAMIAO PROFA - EE;ESTRADA DO JARARAU,152;CHACARA NANI;4943120
SP00189;EE. PROF. ALBERTO CONTE;AVENIDA MÁRIO LOPES LEÃO, 120;SANTO AMARO;4754010
SP00190;UNISA - UNIVERSIDADE SANTO AMARO;RUA ISABEL SCHMIDT, 349;SANTO AMARO;4743030
SP00191;COLÉGIO FRIBURGO;AVENIDA JOÃO DIAS, 242;VILA ELVIRA;4724000
SP00192;ESCOLA ESTADUAL PADRE SABÓIA DE MEDEIROS;RUA AMÉRICO BRASILIENSE, 1297;CHACARA SANTO ANTONIO (ZONA SUL);4715002
SP00193;EMEFM. LINNEU PRESTES;RUA DR. ANTONIO BENTO, S/N;SANTO AMARO;4750001
SP00194;COLÉGIO ANGLO ALANTE;RUA COMENDADOR ELIAS ZARZUR, 320;CHACARA SANTO ANTONIO (ZONA SUL);4736000
SP00195;EE. PAULO EIRÓ;AV. PADRE JOSÉ MARIA, 210;SANTO AMARO;4753060
SP00196;EE. MARIA PETRONILA;AVENIDA MÁRIO LOPES LEÃO, 1050;JARDIM GUAIANAZES;4754010
SP00197;COLÉGIO JESUS MARIA JOSÉ;RUA SÃO JOSÉ, 115;JARDIM BELA VISTA (ZONA SUL);4739000
SP00198;COLÉGIO MAGISTER;AV. ENG. ALBERTO DE ZAGOTTIS, 1301;JARDIM ANHANGUERA;4686001
SP00199;COLÉGIO SANTA MARIA;AVENIDA SARGENTO GERALDO SANTANA, 901;JARDIM TAQUARAL;4674000
SP00200;EE. IBRAHIM NOBRE;RUA PROFESSOR DJALMA BENTO, 155;CAMPININHA;4678020
SP00201;UNIP - UNIVERSIDADE PAULISTA;RUA CANCIONEIRO POPULAR, 210;CHACARA SANTO ANTONIO (ZONA SUL);4710000
SP00202;ESCOLA PUERI DOMUS;RUA VERBO DIVINO, 993 A;CHACARA SANTO ANTONIO (ZONA SUL);4719001
SP00203;EE. PLÍNIO NEGRÃO;RUA BRAGANÇA PAULISTA, 575;VILA CRUZEIRO;4727001
SP00204;COLÉGIO MAGNO - UNIDADE SÓCRATES;RUA DUQUE COSTA, 164;VILA SOFIA;4671160
SP00205;COLÉGIO WALDORF RUDOLF STEINER;RUA JOB LANE, 900;JARDIM DOS ESTADOS;4639001
SP00206;COLÉGIO ELVIRA BRANDÃO;RUA PAULO ASSUNÇÃO, 97;VILA CRUZEIRO;4726250
SP00207;EE. PROF. ISALTINO DE MELLO;RUA TONINHAS, 73;JARDIM DOS PRADOS;4691040
